family,analysis_condition,severity_index,artifact_type,cell,distance_m,snr_db,air_absorption,degradation,feature_group,n_features,n_zero_reference_sd,n_zero_drift_denominator,n_infinite_feature_drifts,max_epsilon_x,mean_drift_reference_sd,endpoint_ba_mean,endpoint_ba_sd
sharpness,10m_30db,2,environment,10m_30db,10.0,30.0,True,,local_transient,4,1,0,0,0.00014184251610667312,170980702344.92416,1.0,0.0
sharpness,10m_15db,3,environment,10m_15db,10.0,15.0,True,,logmel,80,0,0,0,2.028237724304199e-05,70.80716839176696,0.68,0.298977850520805
sharpness,10m_15db,3,environment,10m_15db,10.0,15.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.68,0.298977850520805
sharpness,10m_15db,3,environment,10m_15db,10.0,15.0,True,,mfcc,26,0,0,0,0.0001247572021484375,11.180791831844106,0.68,0.298977850520805
sharpness,10m_15db,3,environment,10m_15db,10.0,15.0,True,,time_domain,11,1,0,0,0.002413111788234003,46.51275471322512,0.68,0.298977850520805
sharpness,10m_15db,3,environment,10m_15db,10.0,15.0,True,,frame_energy,8,2,0,0,0.0006073271663641753,27061574392448.562,0.68,0.298977850520805
sharpness,10m_15db,3,environment,10m_15db,10.0,15.0,True,,band_ratios,8,3,3,0,9.752535820007324e-07,0.3388495727037813,0.68,0.298977850520805
sharpness,10m_15db,3,environment,10m_15db,10.0,15.0,True,,local_transient,4,1,0,0,0.00014184251610667312,5468477801806.2,0.68,0.298977850520805
sharpness,10m_5db,4,environment,10m_5db,10.0,5.0,True,,logmel,80,0,0,0,2.028237724304199e-05,79.42861768138908,0.72,0.28855728395320224
sharpness,10m_5db,4,environment,10m_5db,10.0,5.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.72,0.28855728395320224
sharpness,10m_5db,4,environment,10m_5db,10.0,5.0,True,,mfcc,26,0,0,0,0.0001247572021484375,11.765559696204043,0.72,0.28855728395320224
sharpness,10m_5db,4,environment,10m_5db,10.0,5.0,True,,time_domain,11,1,0,0,0.002413111788234003,205.9702810911798,0.72,0.28855728395320224
sharpness,10m_5db,4,environment,10m_5db,10.0,5.0,True,,frame_energy,8,2,0,0,0.0006073271663641753,270234789015947.2,0.72,0.28855728395320224
sharpness,10m_5db,4,environment,10m_5db,10.0,5.0,True,,band_ratios,8,3,3,0,9.752535820007324e-07,0.34162188301756874,0.72,0.28855728395320224
sharpness,10m_5db,4,environment,10m_5db,10.0,5.0,True,,local_transient,4,1,0,0,0.00014184251610667312,54339323556612.68,0.72,0.28855728395320224
sharpness,30m_30db,5,environment,30m_30db,30.0,30.0,True,,logmel,80,0,0,0,2.028237724304199e-05,48.83232710713069,1.0,0.0
sharpness,30m_30db,5,environment,30m_30db,30.0,30.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,1.0,0.0
sharpness,30m_30db,5,environment,30m_30db,30.0,30.0,True,,mfcc,26,0,0,0,0.0001247572021484375,9.57616855869879,1.0,0.0
sharpness,30m_30db,5,environment,30m_30db,30.0,30.0,True,,time_domain,11,1,0,0,0.002413111788234003,38.626012766922365,1.0,0.0
sharpness,30m_30db,5,environment,30m_30db,30.0,30.0,True,,frame_energy,8,2,0,0,0.0006073271663641753,79180159131.7747,1.0,0.0
sharpness,30m_30db,5,environment,30m_30db,30.0,30.0,True,,band_ratios,8,3,3,0,9.752535820007324e-07,0.31932653501422387,1.0,0.0
sharpness,30m_30db,5,environment,30m_30db,30.0,30.0,True,,local_transient,4,1,0,0,0.00014184251610667312,15751694796.32143,1.0,0.0
sharpness,30m_15db,6,environment,30m_15db,30.0,15.0,True,,logmel,80,0,0,0,2.028237724304199e-05,61.855875884973024,0.76,0.2523360247522242
sharpness,30m_15db,6,environment,30m_15db,30.0,15.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.76,0.2523360247522242
sharpness,30m_15db,6,environment,30m_15db,30.0,15.0,True,,mfcc,26,0,0,0,0.0001247572021484375,10.71444790750149,0.76,0.2523360247522242
sharpness,30m_15db,6,environment,30m_15db,30.0,15.0,True,,time_domain,11,1,0,0,0.002413111788234003,57.41087517821391,0.76,0.2523360247522242
sharpness,30m_15db,6,environment,30m_15db,30.0,15.0,True,,frame_energy,8,2,0,0,0.0006073271663641753,2489121271798.046,0.76,0.2523360247522242
sharpness,30m_15db,6,environment,30m_15db,30.0,15.0,True,,band_ratios,8,3,3,0,9.752535820007324e-07,0.3451076606492739,0.76,0.2523360247522242
sharpness,30m_15db,6,environment,30m_15db,30.0,15.0,True,,local_transient,4,1,0,0,0.00014184251610667312,498589701321.17303,0.76,0.2523360247522242
sharpness,30m_5db,7,environment,30m_5db,30.0,5.0,True,,logmel,80,0,0,0,2.028237724304199e-05,70.55664007767272,0.8,0.28571428571428575
sharpness,30m_5db,7,environment,30m_5db,30.0,5.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.8,0.28571428571428575
sharpness,30m_5db,7,environment,30m_5db,30.0,5.0,True,,mfcc,26,0,0,0,0.0001247572021484375,11.331973514567157,0.8,0.28571428571428575
sharpness,30m_5db,7,environment,30m_5db,30.0,5.0,True,,time_domain,11,1,0,0,0.002413111788234003,166.37657619938406,0.8,0.28571428571428575
sharpness,30m_5db,7,environment,30m_5db,30.0,5.0,True,,frame_energy,8,2,0,0,0.0006073271663641753,25017464664838.867,0.8,0.28571428571428575
sharpness,30m_5db,7,environment,30m_5db,30.0,5.0,True,,band_ratios,8,3,3,0,9.752535820007324e-07,0.34118128127266084,0.8,0.28571428571428575
sharpness,30m_5db,7,environment,30m_5db,30.0,5.0,True,,local_transient,4,1,0,0,0.00014184251610667312,5046777821630.084,0.8,0.28571428571428575
