family,analysis_condition,severity_index,artifact_type,cell,distance_m,snr_db,air_absorption,degradation,feature_group,n_features,n_zero_reference_sd,n_zero_drift_denominator,n_infinite_feature_drifts,max_epsilon_x,mean_drift_reference_sd,endpoint_ba_mean,endpoint_ba_sd
intensity,30m_30db,5,environment,30m_30db,30.0,30.0,True,,time_domain,11,1,0,0,0.0020780517510334156,45.25409595660971,1.0,0.0
intensity,30m_30db,5,environment,30m_30db,30.0,30.0,True,,frame_energy,8,2,0,0,0.0001663831804364931,78776792014.22726,1.0,0.0
intensity,30m_30db,5,environment,30m_30db,30.0,30.0,True,,band_ratios,8,3,3,0,7.345432639122008e-07,0.9681208153891058,1.0,0.0
intensity,30m_30db,5,environment,30m_30db,30.0,30.0,True,,local_transient,4,1,0,0,6.624797599646131e-05,15711153663.851702,1.0,0.0
intensity,30m_15db,6,environment,30m_15db,30.0,15.0,True,,logmel,80,0,0,0,2.0618885040283202e-05,36.19504392215928,1.0,0.0
intensity,30m_15db,6,environment,30m_15db,30.0,15.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,1.0,0.0
intensity,30m_15db,6,environment,30m_15db,30.0,15.0,True,,mfcc,26,0,0,0,0.00012644908142089842,7.763368788041948,1.0,0.0
intensity,30m_15db,6,environment,30m_15db,30.0,15.0,True,,time_domain,11,1,0,0,0.0020780517510334156,306.1854658879212,1.0,0.0
intensity,30m_15db,6,environment,30m_15db,30.0,15.0,True,,frame_energy,8,2,0,0,0.0001663831804364931,2613741193212.932,1.0,0.0
intensity,30m_15db,6,environment,30m_15db,30.0,15.0,True,,band_ratios,8,3,3,0,7.345432639122008e-07,1.1098610329420875,1.0,0.0
intensity,30m_15db,6,environment,30m_15db,30.0,15.0,True,,local_transient,4,1,0,0,6.624797599646131e-05,527914919860.2055,1.0,0.0
intensity,30m_5db,7,environment,30m_5db,30.0,5.0,True,,logmel,80,0,0,0,2.0618885040283202e-05,41.4463938363481,1.0,0.0
intensity,30m_5db,7,environment,30m_5db,30.0,5.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,1.0,0.0
intensity,30m_5db,7,environment,30m_5db,30.0,5.0,True,,mfcc,26,0,0,0,0.00012644908142089842,8.11835102147214,1.0,0.0
intensity,30m_5db,7,environment,30m_5db,30.0,5.0,True,,time_domain,11,1,0,0,0.0020780517510334156,549.097117924881,1.0,0.0
intensity,30m_5db,7,environment,30m_5db,30.0,5.0,True,,frame_energy,8,2,0,0,0.0001663831804364931,26027554401418.86,1.0,0.0
intensity,30m_5db,7,environment,30m_5db,30.0,5.0,True,,band_ratios,8,3,3,0,7.345432639122008e-07,1.12976611950748,1.0,0.0
intensity,30m_5db,7,environment,30m_5db,30.0,5.0,True,,local_transient,4,1,0,0,6.624797599646131e-05,5228405836992.545,1.0,0.0
location,reference,0,environment,reference,1.0,,False,,logmel,80,0,0,0,2.017592430114746e-05,0.0,1.0,0.0
location,reference,0,environment,reference,1.0,,False,,spectral_stats,44,9,3,0,0.0068125,0.0,1.0,0.0
location,reference,0,environment,reference,1.0,,False,,mfcc,26,0,0,0,0.0001242907485961914,0.0,1.0,0.0
location,reference,0,environment,reference,1.0,,False,,time_domain,11,1,0,0,0.0029917410041680336,0.0,1.0,0.0
location,reference,0,environment,reference,1.0,,False,,frame_energy,8,2,0,0,0.00011432056513526511,0.0,1.0,0.0
location,reference,0,environment,reference,1.0,,False,,band_ratios,8,3,3,0,7.213711738586425e-07,0.0,1.0,0.0
location,reference,0,environment,reference,1.0,,False,,local_transient,4,1,0,0,4.050676797735933e-05,0.0,1.0,0.0
location,1m_30db,1,environment,1m_30db,1.0,30.0,False,,logmel,80,0,0,0,2.017592430114746e-05,122.94317613461412,0.66,0.32639027596559606
location,1m_30db,1,environment,1m_30db,1.0,30.0,False,,spectral_stats,44,9,3,3,0.0068125,inf,0.66,0.32639027596559606
location,1m_30db,1,environment,1m_30db,1.0,30.0,False,,mfcc,26,0,0,0,0.0001242907485961914,19.66840536900943,0.66,0.32639027596559606
location,1m_30db,1,environment,1m_30db,1.0,30.0,False,,time_domain,11,1,0,0,0.0029917410041680336,38.308853240629816,0.66,0.32639027596559606
location,1m_30db,1,environment,1m_30db,1.0,30.0,False,,frame_energy,8,2,0,0,0.00011432056513526511,99052525305597.75,0.66,0.32639027596559606
location,1m_30db,1,environment,1m_30db,1.0,30.0,False,,band_ratios,8,3,3,0,7.213711738586425e-07,0.8006100705926088,0.66,0.32639027596559606
location,1m_30db,1,environment,1m_30db,1.0,30.0,False,,local_transient,4,1,0,0,4.050676797735933e-05,20075763140379.887,0.66,0.32639027596559606
location,10m_30db,2,environment,10m_30db,10.0,30.0,True,,logmel,80,0,0,0,2.017592430114746e-05,93.42354585568258,0.58,0.3692242280948596
location,10m_30db,2,environment,10m_30db,10.0,30.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.58,0.3692242280948596
