instrument,analysis_condition,family,ablation_protocol,ablated_or_included_group,feature_set,n_tracking_samples,n_features,best_feature,best_spearman_rho,count_abs_rho_ge_0p9,endpoint_ba_mean,endpoint_ba_sd,endpoint_cv_folds,baseline_full_endpoint_ba,endpoint_ba_delta_from_full
traditional_181d,reference,decay,logo,local_transient,without_local_transient,25,177,feat_spectral_bandwidth_p10,0.9843740386976971,138,1.0,0.0,50,1.0,0.0
traditional_181d,reference,decay,sgi,logmel,only_logmel,25,80,feat_logmel_00_mean,-0.9805806756909201,79,1.0,0.0,50,1.0,0.0
traditional_181d,reference,decay,sgi,spectral_stats,only_spectral_stats,25,44,feat_spectral_bandwidth_p10,0.9843740386976971,32,1.0,0.0,50,1.0,0.0
traditional_181d,reference,decay,sgi,mfcc,only_mfcc,25,26,feat_mfcc_00_mean,-0.9805806756909201,24,1.0,0.0,50,1.0,0.0
traditional_181d,reference,decay,sgi,time_domain,only_time_domain,25,11,feat_zcr,-0.980958039828688,1,0.8,0.24743582965269673,50,1.0,-0.19999999999999996
traditional_181d,reference,decay,sgi,frame_energy,only_frame_energy,25,8,feat_10ms_frame_energy_p90,-0.9805806756909201,2,0.8,0.24743582965269673,50,1.0,-0.19999999999999996
traditional_181d,reference,decay,sgi,band_ratios,only_band_ratios,25,8,feat_band_0_1000_ratio,-0.5491251783869152,0,0.9,0.22587697572631282,50,1.0,-0.09999999999999998
traditional_181d,reference,decay,sgi,local_transient,only_local_transient,25,4,feat_5ms_frame_energy_p90,-0.9766583529881566,1,0.8,0.24743582965269673,50,1.0,-0.19999999999999996
traditional_181d,reference,sharpness,logo,logmel,without_logmel,25,101,feat_band_0_1000_ratio,-0.9688137075826291,18,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,logo,spectral_stats,without_spectral_stats,25,137,feat_band_0_1000_ratio,-0.9688137075826291,8,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,logo,mfcc,without_mfcc,25,155,feat_band_0_1000_ratio,-0.9688137075826291,14,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,logo,time_domain,without_time_domain,25,170,feat_band_0_1000_ratio,-0.9688137075826291,19,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,logo,frame_energy,without_frame_energy,25,173,feat_band_0_1000_ratio,-0.9688137075826291,19,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,logo,band_ratios,without_band_ratios,25,173,feat_10ms_spectral_flatness_p10,0.9139011897439376,17,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,logo,local_transient,without_local_transient,25,177,feat_band_0_1000_ratio,-0.9688137075826291,19,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,sgi,logmel,only_logmel,25,80,feat_logmel_04_std,-0.9021342216356466,1,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,sgi,spectral_stats,only_spectral_stats,25,44,feat_10ms_spectral_flatness_p10,0.9139011897439376,11,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,sgi,mfcc,only_mfcc,25,26,feat_mfcc_01_mean,-0.9139011897439376,5,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,sgi,time_domain,only_time_domain,25,11,feat_waveform_kurtosis,0.6432609232532436,0,0.9,0.20203050891044214,50,1.0,-0.09999999999999998
traditional_181d,reference,sharpness,sgi,frame_energy,only_frame_energy,25,8,feat_frame_energy_p90,-0.8982118989328828,0,0.8,0.24743582965269675,50,1.0,-0.19999999999999996
traditional_181d,reference,sharpness,sgi,band_ratios,only_band_ratios,25,8,feat_band_0_1000_ratio,-0.9688137075826291,2,1.0,0.0,50,1.0,0.0
traditional_181d,reference,sharpness,sgi,local_transient,only_local_transient,25,4,feat_5ms_frame_energy_p90,-0.8982118989328828,0,0.8,0.24743582965269675,50,1.0,-0.19999999999999996
traditional_181d,10m_15db,intensity,logo,logmel,without_logmel,25,101,feat_peak_abs,0.9531244167715744,17,0.9,0.20203050891044214,50,1.0,-0.09999999999999998
traditional_181d,10m_15db,intensity,logo,spectral_stats,without_spectral_stats,25,137,feat_logmel_03_mean,0.9609690621771018,57,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,intensity,logo,mfcc,without_mfcc,25,155,feat_logmel_03_mean,0.9609690621771018,56,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,intensity,logo,time_domain,without_time_domain,25,170,feat_logmel_03_mean,0.9609690621771018,53,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,intensity,logo,frame_energy,without_frame_energy,25,173,feat_logmel_03_mean,0.9609690621771018,49,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,intensity,logo,band_ratios,without_band_ratios,25,173,feat_logmel_03_mean,0.9609690621771018,57,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,intensity,logo,local_transient,without_local_transient,25,177,feat_logmel_03_mean,0.9609690621771018,53,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,intensity,sgi,logmel,only_logmel,25,80,feat_logmel_03_mean,0.9609690621771018,40,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,intensity,sgi,spectral_stats,only_spectral_stats,25,44,feat_5ms_spectral_flux_std,0.47460104703440537,0,0.8,0.2857142857142857,50,1.0,-0.19999999999999996
traditional_181d,10m_15db,intensity,sgi,mfcc,only_mfcc,25,26,feat_mfcc_00_mean,0.9492020940688107,1,0.97,0.11994896874104763,50,1.0,-0.030000000000000027
traditional_181d,10m_15db,intensity,sgi,time_domain,only_time_domain,25,11,feat_peak_abs,0.9531244167715744,4,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,intensity,sgi,frame_energy,only_frame_energy,25,8,feat_frame_energy_p10,0.9531244167715744,8,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,intensity,sgi,band_ratios,only_band_ratios,25,8,feat_band_8000_plus_ratio,-0.45498943352058696,0,0.82,0.24243661069253059,50,1.0,-0.18000000000000005
traditional_181d,10m_15db,intensity,sgi,local_transient,only_local_transient,25,4,feat_5ms_frame_energy_p10,0.9531244167715744,4,1.0,0.0,50,1.0,0.0
traditional_181d,10m_15db,location,logo,logmel,without_logmel,25,101,feat_mfcc_11_mean,-0.6158046643338978,0,0.51,0.3424104232630538,50,0.51,0.0
traditional_181d,10m_15db,location,logo,spectral_stats,without_spectral_stats,25,137,feat_mfcc_11_mean,-0.6158046643338978,0,0.52,0.33441999744913214,50,0.51,0.010000000000000009
traditional_181d,10m_15db,location,logo,mfcc,without_mfcc,25,155,feat_logmel_21_std,0.5805037600090248,0,0.46,0.3168724716116976,50,0.51,-0.04999999999999999
traditional_181d,10m_15db,location,logo,time_domain,without_time_domain,25,170,feat_mfcc_11_mean,-0.6158046643338978,0,0.5,0.2857142857142857,50,0.51,-0.010000000000000009
