instrument,feature_set,analysis_condition,family,artifact_type,cell,distance_m,snr_db,air_absorption,degradation,n_tracking_samples,n_features,best_feature,best_spearman_rho,count_abs_rho_ge_0p9,endpoint_ba_mean,endpoint_ba_sd,endpoint_cv_folds
traditional_181d,full,mid_none,decay,degradation,10m_15db,10.0,15.0,True,none,25,181,feat_logmel_39_std,0.6471832459560073,0,0.67,0.27866298861615946,50
traditional_181d,full,mid_none,sharpness,degradation,10m_15db,10.0,15.0,True,none,25,181,feat_logmel_03_std,-0.6667948594698256,0,0.68,0.298977850520805,50
traditional_181d,full,mid_clip_peak_0p5,intensity,degradation,10m_15db,10.0,15.0,True,clip_peak_0p5,25,181,feat_logmel_03_mean,0.9609690621771018,56,1.0,0.0,50
traditional_181d,full,mid_clip_peak_0p5,location,degradation,10m_15db,10.0,15.0,True,clip_peak_0p5,25,181,feat_mfcc_11_mean,-0.6197269870366615,0,0.52,0.24660966430902956,50
traditional_181d,full,mid_clip_peak_0p5,decay,degradation,10m_15db,10.0,15.0,True,clip_peak_0p5,25,181,feat_logmel_39_std,0.5844260827117884,0,0.68,0.2813959371941744,50
traditional_181d,full,mid_clip_peak_0p5,sharpness,degradation,10m_15db,10.0,15.0,True,clip_peak_0p5,25,181,feat_logmel_03_std,-0.6707171821725895,0,0.78,0.2507132682112035,50
traditional_181d,full,mid_clip_peak_0p25,intensity,degradation,10m_15db,10.0,15.0,True,clip_peak_0p25,25,181,feat_logmel_02_mean,0.9570467394743379,56,0.9,0.20203050891044214,50
traditional_181d,full,mid_clip_peak_0p25,location,degradation,10m_15db,10.0,15.0,True,clip_peak_0p25,25,181,feat_mfcc_11_mean,-0.541280532981388,0,0.54,0.22223355980148635,50
traditional_181d,full,mid_clip_peak_0p25,decay,degradation,10m_15db,10.0,15.0,True,clip_peak_0p25,25,181,feat_logmel_32_mean,-0.4628340789261143,0,0.7,0.2857142857142857,50
traditional_181d,full,mid_clip_peak_0p25,sharpness,degradation,10m_15db,10.0,15.0,True,clip_peak_0p25,25,181,feat_mfcc_02_mean,-0.5059796286565148,0,0.7,0.24743582965269675,50
traditional_181d,full,mid_mp3_128k,intensity,degradation,10m_15db,10.0,15.0,True,mp3_128k,25,181,feat_logmel_03_mean,0.9609690621771018,58,1.0,0.0,50
