sample_id,status,action,reason,published_path,archive_path
F_172,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_172,dataset_rejected\flyball_v2_20260727\batch_01\F_172
F_173,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_173,dataset_rejected\flyball_v2_20260727\batch_01\F_173
F_174,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_174,dataset_rejected\flyball_v2_20260727\batch_01\F_174
F_175,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_175,dataset_rejected\flyball_v2_20260727\batch_01\F_175
F_176,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_176,dataset_rejected\flyball_v2_20260727\batch_01\F_176
F_177,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_177,dataset_rejected\flyball_v2_20260727\batch_01\F_177
F_179,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_179,dataset_rejected\flyball_v2_20260727\batch_01\F_179
F_180,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_180,dataset_rejected\flyball_v2_20260727\batch_01\F_180
F_181,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_181,dataset_rejected\flyball_v2_20260727\batch_01\F_181
F_182,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_182,dataset_rejected\flyball_v2_20260727\batch_01\F_182
F_183,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_183,dataset_rejected\flyball_v2_20260727\batch_01\F_183
F_184,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_184,dataset_rejected\flyball_v2_20260727\batch_01\F_184
F_185,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_185,dataset_rejected\flyball_v2_20260727\batch_01\F_185
F_186,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_186,dataset_rejected\flyball_v2_20260727\batch_01\F_186
F_187,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_187,dataset_rejected\flyball_v2_20260727\batch_01\F_187
