sample_id,status,action,reason,published_path,archive_path
F_043,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_043,dataset_rejected\flyball_v2_20260727\batch_01\F_043
F_044,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_044,dataset_rejected\flyball_v2_20260727\batch_01\F_044
F_045,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_045,dataset_rejected\flyball_v2_20260727\batch_01\F_045
F_046,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_046,dataset_rejected\flyball_v2_20260727\batch_01\F_046
F_047,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_047,dataset_rejected\flyball_v2_20260727\batch_01\F_047
F_048,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_048,dataset_rejected\flyball_v2_20260727\batch_01\F_048
F_049,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_049,dataset_rejected\flyball_v2_20260727\batch_01\F_049
F_051,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_051,dataset_rejected\flyball_v2_20260727\batch_01\F_051
F_052,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_052,dataset_rejected\flyball_v2_20260727\batch_01\F_052
F_053,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_053,dataset_rejected\flyball_v2_20260727\batch_01\F_053
F_054,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_054,dataset_rejected\flyball_v2_20260727\batch_01\F_054
