dataset,condition,n_paired_samples,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std
V4,event_selected_event,319,0.6076074121,0.0190899867,0.6324552639,0.0377117158,0.5846680124,0.0203148127,0.2007087259,0.0360344571
V4,event_selected_pre,319,0.5524707058,0.0198006429,0.5837678263,0.0173198294,0.5064879765,0.0180411933,0.0994772031,0.0375745225
V4,pre_selected_pre,319,0.5590244346,0.0171813841,0.5926060496,0.0253674498,0.5395874385,0.0124212300,0.1099392275,0.0318572010
V5,event_selected_event,1851,0.605860,0.005533,0.646023,0.010657,0.596994,0.004586,0.206475,0.010696
V5,event_selected_pre,1851,0.583625,0.003230,0.620898,0.010071,0.533941,0.004674,0.176404,0.006521
V5,pre_selected_pre,1851,0.587279,0.007763,0.615809,0.004596,0.576831,0.007371,0.170175,0.015140
