feature_set,selected_C,validation_macro_f1,accuracy,balanced_accuracy,macro_f1,roc_auc,confusion_matrix_ground_fly
video_appearance,0.01,0.8175115207373271,0.7212121212121212,0.7199675324675325,0.7199675324675325,0.8068181818181819,"[[65, 23], [23, 54]]"
video_motion,0.01,0.795442805487,0.7333333333333333,0.734577922077922,0.7330882352941177,0.801357733175915,"[[63, 25], [19, 58]]"
video_combined,1.0,0.8180147058823529,0.7575757575757576,0.7556818181818181,0.7560615020697812,0.8322018890200709,"[[69, 19], [21, 56]]"
audio_video_early_fusion,0.01,0.8483455882352942,0.7333333333333333,0.7321428571428572,0.7321428571428572,0.8003246753246753,"[[66, 22], [22, 55]]"
background_audio_video_control,0.1,0.8631336405529955,0.7636363636363637,0.7646103896103896,0.7633234028467395,0.8357438016528926,"[[66, 22], [17, 60]]"
