feature_set,selected_C,validation_macro_f1,accuracy,balanced_accuracy,macro_f1,roc_auc,confusion_matrix_ground_fly
contact_logmel,0.1,0.6169027165080102,0.6,0.5982142857142857,0.5982142857142857,0.5968122786304604,"[[55, 33], [33, 44]]"
contact_waveform,1.0,0.461348353353641,0.5454545454545454,0.5438311688311688,0.543778801843318,0.5137249114521842,"[[50, 38], [37, 40]]"
masked_contact_logmel,0.01,0.5569444444444445,0.5515151515151515,0.5503246753246753,0.5501768346595932,0.555047225501771,"[[50, 38], [36, 41]]"
background_logmel,0.1,0.6952205033479566,0.6,0.5974025974025974,0.5975014784151389,0.6325265643447461,"[[56, 32], [34, 43]]"
majority_baseline,,,0.5333333333333333,0.5,0.34782608695652173,0.5,"[[88, 0], [77, 0]]"
